image,quality,class_name
41250_left.jpeg,0,good
30537_left.jpeg,0,good
17792_right.jpeg,0,good
25444_left.jpeg,0,good
20759_right.jpeg,0,good
18861_right.jpeg,0,good
4025_left.jpeg,0,good
21084_left.jpeg,0,good
22793_left.jpeg,0,good
2362_right.jpeg,0,good
6313_left.jpeg,0,good
30539_left.jpeg,0,good
11117_left.jpeg,0,good
5358_left.jpeg,0,good
1322_left.jpeg,0,good
4781_right.jpeg,0,good
34734_right.jpeg,0,good
7470_left.jpeg,0,good
36341_right.jpeg,0,good
39325_left.jpeg,0,good
5059_right.jpeg,0,good
29445_left.jpeg,0,good
25755_right.jpeg,0,good
24864_right.jpeg,0,good
27582_right.jpeg,0,good
23269_right.jpeg,0,good
40386_left.jpeg,0,good
6558_left.jpeg,0,good
41219_left.jpeg,0,good
35867_right.jpeg,0,good
1785_right.jpeg,0,good
30832_right.jpeg,0,good
17722_right.jpeg,0,good
20942_right.jpeg,0,good
43539_right.jpeg,0,good
23064_left.jpeg,0,good
7786_left.jpeg,0,good
34352_right.jpeg,0,good
8843_right.jpeg,0,good
19115_left.jpeg,0,good
125_right.jpeg,0,good
7811_left.jpeg,0,good
17182_right.jpeg,0,good
43113_right.jpeg,0,good
43539_left.jpeg,0,good
39500_left.jpeg,0,good
23157_left.jpeg,0,good
20461_right.jpeg,0,good
28035_left.jpeg,0,good
994_left.jpeg,0,good
22521_left.jpeg,0,good
31284_right.jpeg,0,good
27971_left.jpeg,0,good
32358_left.jpeg,0,good
18183_left.jpeg,0,good
5515_right.jpeg,0,good
26314_left.jpeg,0,good
24593_left.jpeg,0,good
34289_left.jpeg,0,good
31469_left.jpeg,0,good
13843_left.jpeg,0,good
12480_right.jpeg,0,good
19876_left.jpeg,0,good
9716_right.jpeg,0,good
21932_left.jpeg,0,good
15644_right.jpeg,0,good
38596_left.jpeg,0,good
6796_right.jpeg,0,good
39067_left.jpeg,0,good
27541_right.jpeg,0,good
31231_right.jpeg,0,good
12278_left.jpeg,0,good
25628_left.jpeg,0,good
42787_left.jpeg,0,good
2159_left.jpeg,0,good
40336_right.jpeg,0,good
15720_right.jpeg,0,good
22793_right.jpeg,0,good
40719_right.jpeg,0,good
5259_right.jpeg,0,good
36088_right.jpeg,0,good
22298_left.jpeg,0,good
25648_left.jpeg,0,good
4021_left.jpeg,0,good
34061_right.jpeg,0,good
33386_left.jpeg,0,good
37090_right.jpeg,0,good
21485_right.jpeg,0,good
13323_left.jpeg,0,good
40874_right.jpeg,0,good
38723_left.jpeg,0,good
41290_left.jpeg,0,good
34923_right.jpeg,0,good
6654_left.jpeg,0,good
1260_left.jpeg,0,good
23201_right.jpeg,0,good
24655_right.jpeg,0,good
15879_left.jpeg,0,good
44118_left.jpeg,0,good
23050_right.jpeg,0,good
14533_right.jpeg,0,good
33687_right.jpeg,0,good
35463_left.jpeg,0,good
11546_left.jpeg,0,good
23428_left.jpeg,0,good
7314_left.jpeg,0,good
2923_right.jpeg,0,good
15795_left.jpeg,0,good
19200_right.jpeg,0,good
1658_left.jpeg,0,good
29919_left.jpeg,0,good
25963_right.jpeg,0,good
40840_right.jpeg,0,good
39559_right.jpeg,0,good
42782_right.jpeg,0,good
35684_right.jpeg,0,good
7192_left.jpeg,0,good
28095_left.jpeg,0,good
20503_right.jpeg,0,good
24102_right.jpeg,0,good
31379_left.jpeg,0,good
24611_right.jpeg,0,good
966_left.jpeg,0,good
8129_left.jpeg,0,good
4299_left.jpeg,0,good
37528_left.jpeg,0,good
26961_right.jpeg,0,good
38065_left.jpeg,0,good
34947_right.jpeg,0,good
16703_right.jpeg,0,good
11471_right.jpeg,0,good
34990_right.jpeg,0,good
27637_right.jpeg,0,good
31073_right.jpeg,0,good
26118_right.jpeg,0,good
4460_right.jpeg,0,good
20916_right.jpeg,0,good
26069_left.jpeg,0,good
7881_right.jpeg,0,good
8500_left.jpeg,0,good
27292_right.jpeg,0,good
39359_left.jpeg,0,good
26218_right.jpeg,0,good
35742_right.jpeg,0,good
18232_left.jpeg,0,good
10312_right.jpeg,0,good
14867_left.jpeg,0,good
38362_left.jpeg,0,good
38884_left.jpeg,0,good
18232_right.jpeg,0,good
17232_left.jpeg,0,good
35135_right.jpeg,0,good
25808_left.jpeg,0,good
33015_right.jpeg,0,good
36686_left.jpeg,0,good
37339_right.jpeg,0,good
14726_left.jpeg,0,good
3227_left.jpeg,0,good
13307_left.jpeg,0,good
15125_left.jpeg,0,good
24090_right.jpeg,0,good
37014_right.jpeg,0,good
30287_left.jpeg,0,good
27599_left.jpeg,0,good
15495_right.jpeg,0,good
10190_right.jpeg,0,good
37042_left.jpeg,0,good
20381_right.jpeg,0,good
21367_right.jpeg,0,good
9497_right.jpeg,0,good
7579_left.jpeg,0,good
37469_left.jpeg,0,good
16547_right.jpeg,0,good
24823_right.jpeg,0,good
4864_right.jpeg,0,good
40366_left.jpeg,0,good
43235_left.jpeg,0,good
37494_left.jpeg,0,good
10031_left.jpeg,0,good
40423_right.jpeg,0,good
26655_right.jpeg,0,good
31488_left.jpeg,0,good
18071_right.jpeg,0,good
35392_right.jpeg,0,good
